Name,Lat,Lng,,,,,,,
"موصل, جامع الشهيد",36.4359025,43.1346142,,,,,,,
"موصل, بيت ابو وسيم",36.4358487,43.1217228,,,,,,,
"موصل, عيادة سكاي لطب الاسنان",36.4358372,43.1151574,,,,,,,
"موصل, صدام الملاح",36.435762,43.1351905,,,,,,,
"موصل, محطة عطاء البركة",36.4356338,43.1025602,,,,,,,
"موصل, مكتب اهل اليسر للعقارات ابوحمزة الدباغ",36.4355451,43.1146227,,,,,,,
"موصل, حي الملايين الثانية",36.4355367,43.0996133,,,,,,,
"موصل, المؤمن لخدمات الانترنت",36.4355257,43.0995637,,,,,,,
"موصل, ورشة التقى لخدمات التكييف",36.4355162,43.1137023,,,,,,,
"موصل, مكتب الرونق الهندسي",36.4354852,43.1144325,,,,,,,
"موصل, مسجد الحج بشار",36.435483,43.1042082,,,,,,,
"موصل, جامع الشهيدين",36.435483,43.1042082,,,,,,,
"موصل, التعليم ماركت | Al -taleam market",36.4354369,43.114331,,,,,,,
"موصل, شركة باب المستقبل للمقاولات والبناء بالتقسبط",36.435432,43.1142839,,,,,,,
"موصل, مكتب مدينة التعليم",36.4354314,43.1142842,,,,,,,
"موصل, مينا للعقار",36.4354239,43.1144911,,,,,,,
"موصل, Mr. mobilization station",36.4353779,43.1023095,,,,,,,
"موصل, مكتب الجدير لتجارة العقارات",36.4353514,43.1141271,,,,,,,
"موصل, حي المعهد التقني",36.4353417,43.1214717,,,,,,,
"موصل, مكتب عيون نينوى لتجارة العقار",36.4353409,43.1140899,,,,,,,
"موصل, حلاقه الاديب",36.4353022,43.1083216,,,,,,,
"موصل, مقبرة",36.4352699,43.1957689,,,,,,,
"موصل, نايف محمد ال طه",36.4352362,43.0995966,,,,,,,
"موصل, محل للبيع الثلج",36.4352117,43.1038328,,,,,,,
"موصل, ابراهيم لخدمات الانترنت",36.4351985,43.0987017,,,,,,,
"موصل, مركز صحي المعهد التقني",36.4351828,43.1211532,,,,,,,
"موصل, Al-Maash Market",36.4351477,43.103184,,,,,,,
"موصل, مكتب المذهل للعقار",36.4350996,43.1128161,,,,,,,
"موصل, حارث صديق",36.4350374,43.123228,,,,,,,
"موصل, محطة تعبئة بعويزة المشيدة",36.4350355,43.1538744,,,,,,,
"موصل, ارض ريان",36.4348157,43.1391431,,,,,,,
"موصل, قسم الصيدلة والمستلزمات الطبية لدائرة صحة نينوى",36.434731,43.1131769,,,,,,,
"موصل, الكندي الخامسة",36.4347194,43.1386844,,,,,,,
"موصل, عمر ابو السبالت",36.4346164,43.0985576,,,,,,,
"موصل, ليث النجار",36.4345206,43.1083603,,,,,,,
"موصل, مخزن مديرية صحة نينوى",36.4345143,43.1137207,,,,,,,
"موصل, جامع التربية الرابعة",36.4345101,43.1305489,,,,,,,
"موصل, اسواق ابو سعد",36.4344367,43.0978216,,,,,,,
"موصل, مزرعة الشيخ قاسم الحمودي",36.4344138,43.1997439,,,,,,,
"موصل, مكتب التعليم للعقار",36.4343998,43.1113024,,,,,,,
"موصل, منظومة انترنت علي",36.4342638,43.1609179,,,,,,,
"موصل, مـعمل الغـيث للبلاستك والالمنيوم / بـادارة طـالب الشبكي",36.4342487,43.1551626,,,,,,,
"موصل, جامع العادل",36.434234,43.0971285,,,,,,,
"موصل, شركة رونق الحرير للتجارة العامة محدودة المسؤولية شركة خاصة",36.4341713,43.1107479,,,,,,,
"موصل, مكتب الأيهم",36.434116,43.1105772,,,,,,,
"موصل, ساحه نينوى لبيع الحديد التسليح",36.434116,43.1105772,,,,,,,
"موصل, موصل/ التعليم العالي",36.434116,43.1105772,,,,,,,
"موصل, وعدالله الآغا",36.4340011,43.1397147,,,,,,,
"موصل, جامع الريان",36.4339787,43.0894582,,,,,,,
"موصل, محمد الدوسكي",36.4338845,43.1586184,,,,,,,
"موصل, دار الحاج داؤد ال چامي",36.4338446,43.0894947,,,,,,,
"موصل, مجمع النور",36.433816,43.1087123,,,,,,,
"موصل, محطة كهرباء التعليم الثانوية المتنقله",36.433793,43.112103,,,,,,,
"موصل, روضة رواد المستقبل النموذجية الاهلية",36.4337487,43.1091818,,,,,,,
"موصل, قطعة ارض ثائر المعماري",36.4337278,43.098868,,,,,,,
"موصل, حلاقة التقني",36.4337187,43.1369074,,,,,,,
"موصل, مكتب مؤمن",36.433717,43.1098698,,,,,,,
"موصل, سايد للبناء -Side",36.4336914,43.1096632,,,,,,,
"موصل, محل الأخوين للزجاج",36.4336859,43.1097764,,,,,,,
"موصل, مكتب العارف للعقارات",36.4336577,43.1101125,,,,,,,
"موصل, بعويزة",36.4336398,43.1564709,,,,,,,
"موصل, جامع الصادق الأمين",36.4336226,43.1567481,,,,,,,
"موصل, زيد",36.4336017,43.1144983,,,,,,,
"موصل, مكتب ارض الخيرات للعقار",36.4335989,43.1099573,,,,,,,
"موصل, محلات الشيخ",36.4335957,43.1550346,,,,,,,
"موصل, صيدلية الغفران",36.4335583,43.1567022,,,,,,,
"موصل, المهندس محمد المختار",36.4335524,43.1095017,,,,,,,
"موصل, اسواق عبدالله",36.4335193,43.1573516,,,,,,,
"موصل, كوافير النور",36.4335083,43.1090861,,,,,,,
"موصل, مكتب بعويزة للعقارات",36.4335058,43.1565332,,,,,,,
"موصل, حي التربية الثانية",36.4335026,43.1367474,,,,,,,
"موصل, دراهم سنتر",36.4334119,43.1084882,,,,,,,
"موصل, مزارع الدكتور علي نجم",36.4334009,43.1627998,,,,,,,
"موصل, هميلة ماركت",36.433389,43.1091724,,,,,,,
"موصل, مكتب البيت العصري لتجارة العقارات",36.4333875,43.1091719,,,,,,,
"موصل, Murad waleed",36.4333795,43.1085118,,,,,,,
"موصل, مكتب صهيب للعقار",36.433372,43.1091704,,,,,,,
"موصل, محمد نزار العبيدي",36.4333177,43.0994833,,,,,,,
"موصل, دار ال عليوي",36.4333,43.1144433,,,,,,,
"موصل, شركه الموصل لتجاره المحدوده",36.4332989,43.1089598,,,,,,,
"موصل, محمد",36.433266,43.092053,,,,,,,
"موصل, مرطبات الجنائن 2",36.433253,43.1086229,,,,,,,
"موصل, افران الخير",36.4332447,43.1088245,,,,,,,
"موصل, حي التربية الرابعة",36.4332274,43.129509,,,,,,,
"موصل, صيدلية نبع الصحة",36.4332264,43.108761,,,,,,,
"موصل, مدرسة العباسية لمحو الامية",36.4331875,43.1948125,,,,,,,
"موصل, حمودي نت",36.4331859,43.1947707,,,,,,,
"موصل, مكتب القبلان لتجارة العقارات",36.433127,43.136873,,,,,,,
"موصل, سوق المعاش",36.433077,43.103566,,,,,,,
"موصل, مزرعة اسامة",36.4330695,43.1397899,,,,,,,
"موصل, محمد الهميلة",36.4329048,43.1473134,,,,,,,
"موصل, حي الملايين",36.4328833,43.09922,,,,,,,
"موصل, جمعية النور.حي التعليم",36.4327737,43.1065699,,,,,,,
"موصل, اسواق تبارك الرحمن",36.4327646,43.0984335,,,,,,,
"موصل, مكتب أبو يحيى للديكورات الهندسية الخارجية و الداخلية",36.4327527,43.0982464,,,,,,,
"موصل, افران ومخبز تبارك الرحمن",36.4326993,43.0983091,,,,,,,
"موصل, احمد بشير ابو عصمت",36.4326509,43.1604688,,,,,,,
"موصل, متوسطة العباسية المختلطة",36.432627,43.1947272,,,,,,,
"موصل, كوافير عبدالله الباشا",36.4326197,43.0986943,,,,,,,
"موصل, اسواق حمودي",36.4325749,43.1960398,,,,,,,
"موصل, مرعي عبدالله النجار و ناظم محمد/حقل دواجن",36.4325125,43.2077999,,,,,,,
"موصل, مكتب ركن السمان للعقار",36.4324573,43.0982799,,,,,,,
"موصل, جامع اهل القران",36.4314631,43.0986202,,,,,,,
"موصل, مكتب الشروق للأراكيل والسكائر",36.4313751,43.1054766,,,,,,,
"موصل, مكتب الامال للعقارات",36.4313704,43.1055076,,,,,,,
"موصل, القاسم لخدمات الإنترنت",36.431262,43.1178232,,,,,,,
